Question,Answer
rested in booking a room at your hotel I want to know more about the hotel and its facilities","Hi, this is Lihao Hotel Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin and checkout times are 1200 pm and 300 pm respectively We have a variety of room types available ranging from comfort standard room to business duplex king room The room prices range from 108rmb to 400rmb We have breakfasts available from 930 am to 1030 am We also have a Gym available for guests and free parking is available near the hotel"
What kind of amenities are offered at the hotel,"We offer a range of amenities including air conditioner, washing machine, hair dryer, television, electric kettle and Wifi, for which the password is the room number Additionally, there are nearby amenities such as supermarket, cinema and market"
What is the best room type that you recommend for me,"For best experience we recommend our Executive Business Standard King Room, which has a price of 128rmb This room is elegantly furnished and offers a luxurious stay It includes amenities such as air conditioning, hair dryer, electric kettle and highspeed WiFi"
"Good morning,","Good morning, how may I assist you today"
I was wondering if I could get more info on the hotel rooms at Lihao hotel,"Absolutely, the Lihao Hotel is located on 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We currently have 8 different types of room styles Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb"
Great Do these room come with any included amenities,"Yes of course All our rooms are equipped with air conditioner, washing machine, hair dryer, television and electric kettle We also offer free WiFi service with the password being your room number In addition, we have a gym available for guests, and free parking available near the hotel"
Thats great What the breakfast hours,Breakfast is served from 930 am to 1030 am daily Please let us know in advance if you have any dietary restrictions so that we can accommodate your needs
Perfect Can I make a booking,Of course Please let me know what type of room and date you would like to book and I will provide you with the rates and availability
"Hi, Id like to make a reservation at Lihao Hotel",Hi Welcome to Lihao Hotel How can I help you
"Yes, can I check availability for one night, please",Absolutely We have many different room types available Which one are you interested in
I would like a Comfort Standard Room,We have a few rooms available for you The price per night is 108rmb Is that OK
Yes thats fine,"Great Can I have your name and a legal ID number, please"
"Sure My name is John, and my legal ID number is 123456","Perfect Let me confirm your reservation I see that you will be staying for one night, checking in at 3 pm, and checking out at 12 pm Is this correct"
Thats correct,Got it Can I help you with anything else
"Yes Are there any amenities included in the room, such as air conditioner, hair dryer, etc","Yes, absolutely Every room includes air conditioner, hair dryer, television and electric kettle The rooms are also equipped with free WiFi, with the password being the room number You can also enjoy breakfast from 930 am to 1030am and take advantage of our gym There is a supermarket, a cinema, and a market nearby, too"
Thats great Is there free parking available near the hotel,"Yes, we do provide free parking near the hotel"
Perfect Thats all I need,"Alright, Im happy to assist Is there anything else I can help you with"
"Hello, Im interested in staying at Lihao Hotel, and I wanted to ask a few questions","Hi there, this is the Lihao Hotel speaking What can I do for you"
"I wanted to know the checkin and checkout times, as well as the room types and costs available at the hotel","Absolutely The checkin time at the Lihao Hotel is 300 pm and the checkout time is 1200 pm We have a variety of different room types and costs available for you to choose from Our Comfort Standard Room costs 108rmb, our Comfort Single Room costs 108rmb, our Business Duplex Standard Room costs 108rmb, our Business Duplex King Room costs 108rmb, our Executive Business Standard King Room costs 128rmb, our Fashionable Smart Standard Room costs 158rmb, our Fashionable Smart King Room costs 158rmb, our Leisure Duplex Chess Room costs 200rmb, our Leisure Duplex Chess Room costs 200rmb, and our Diversified Smart Film Room costs 400rmb"
"Thats great I also wanted to ask if breakfast is included, what amenities are nearby, and what type of facilities are available","Of course Breakfast is available at the hotel from 930 am to 1030 am We also have a gym with gym equipment available for our guests to use Additionally, we offer free WiFi with the password being the room number Nearby amenities to the hotel include a supermarket, cinema, and market Lastly, all of our rooms come with air conditioning, a washing machine, a hair dryer, a television and an electric kettle"
"Thats great One last question, is there free parking available near the hotel",Absolutely We do have free parking available near the hotel for our guests
"Good afternoon, I want to book a room for tonight","Good afternoon, my name is Lihao and Im the agent at Lihao Hotel Welcome Could you please provide me with the details of your stay"
Sure,Could you please let me know the check in and check out time
I would like to check in at 300 pm and check out at 1200 pm,"What type of room would you like We have Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room 128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room 200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Rom 400rmb"
I would like to book the comfort single room for 108rmb,"Okay, we can provide the room for you All rooms have air conditioners, washing machines, hairdryers, televisions, and electric kettles Also, WiFi is available, with the password being the room number You will have free parking nearby and breakfast between 930 and 1030 am The gym is available for guests"
"That sounds great, Ill take it","Wonderful, we are happy to host you here at Lihao Hotel I just need to confirm some information Could you please tell me the name and address of the hotel"
"Lihao Hotel located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden",Perfect Is there anything else I can do for you
Can you provide me with the telephone number of the hotel,"Certainly, the hotels contact number is 1234567789 Is there anything else I can help you with"
"No, thats all Thanks for your help","You are welcome, have a nice day"
Good morning I was wondering if I could book a room at your Lihao Hotel,"Good morning and thank you for your interest in Lihao Hotel Yes, certainly But, first, could you please let me know which room type do you wish to book We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom All of our rooms are priced at 108rmb, 128rmb, 158rmb and 400rmb respectively"
Sure I think I am looking for the Comfort Standard Room,Great I can confirm that we have one available on the dates you are looking for Would you also like to know more about the amenities we provide
"Yes, I would like to know if my room will come with an air conditioner, television, electric kettle and a hairdryer","Yes, of course All the Comfort Standard rooms are equipped with the amenities you mentioned We also provide WiFi for all our guests, with the password being the room number Additionally, we have a gym, supermarket and cinema near the hotel Lastly, we also offer a complimentary breakfast from 930 am to 1030 am every day and free parking near the hotel"
That sounds great Can I also have the checkin and checkout time,"Sure Our checkin time is at 300 pm while our checkout time is at 1200 pm If you have any further queries or require more information, please dont hesitate to contact us on 1234567789"
Do you also provide laundry services,"Yes, we certainly do We provide laundry services for our customers at a minimal charge"
Perfect Thats all the information I need for now I would like to go ahead and make a booking please,Certainly Can I just doublecheck your details
Sure,"Okay, I just need to confirm your name, contact number and dates of checkin and checkout"
Suraj Rikka and my contact number is 987654321 I will be checking in on 6th August and checking out on 8th August,"Certainly, suraj Your booking is confirmed We look forward to welcoming you to the Lihao Hotel Have a great day"
Good day,Hi Welcome to Lihao Hotel How can I help you today
"Yes, Id like to book a room for 3 days","Sure What type of room would you like We offer Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms"
Ill take the Executive Business Standard King Room for 3 days What time is check in and check out,Check in time is 3pm and check out time is 12pm There is free parking available near the hotel Do you have any other questions
"Yes, do you provide amenities such as air conditioner, Wifi, gym, washing machine, hair dryer, television and electric kettle","Yes, we do provide amenities such as air conditioner, Wifi, gym, washing machine, hair dryer, television, and electric kettle WiFi is available with the password being the room number Breakfast is served from 930am to 1030am and there is a supermarket, cinema and market nearby Is that all"
"Yes, thats all Thank you for your help",Youre welcome Please feel free to call our front desk telephone number 1234567789 if you have any other queries We look forward to seeing you soon
"Hi, I would like to make a reservation at your Lihao Hotel","Sure, wed be happy to help you with that What type of room were you looking for We offer Comfort Standard Rooms, Comfort Single Rooms, Business Duplex Standard Rooms, Business Duplex King Rooms, Executive Business Standard King Rooms, Fashionable Smart Standard Rooms, Fashionable Smart King Rooms, Leisure Duplex Chess Rooms, and Diversified Smart Film Rooms"
Could you tell me about the prices for these rooms,"Of course We have many different price points depending on the type of room you are interested in Our Comfort Standard Room is 108rmb, Comfort Single Room is 108rmb, Business Duplex Standard Room is 108rmb, Business Duplex King Room is 108rmb, Executive Business Standard King Room is 128rmb, Fashionable Smart Standard Room is 158rmb, Fashionable Smart King Room is 158rmb, Leisure Duplex Chess Room is 200rmb, and Diversified Smart Film Room is 400rmb"
Do you offer any amenities with these rooms,"Yes, we offer amenities with all of our rooms We provide free breakfast from 930 am to 1030 am There is a gym available for our guests, and WiFi is available, with the password being the room number We are also near a supermarket, a cinema, and a market Our rooms also come with air conditioning, a washing machine, a hair dryer, a television, and an electric kettle Additionally, free parking is available near the hotel"
What are your checkin and checkout times,Our checkin time is 300 pm and our checkout time is 1200 pm
"Great, where is your hotel located","Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden"
Thanks for your help Could I please have the telephone number for your front desk,Absolutely Our front desk telephone number is 1234567789 Is there anything else I can do for you
Hi This is Name and I wanted to book a room for a night,"Hi Name, thank you for contacting Lihao Hotel We would be delighted to accommodate you Can you please provide me with more information about your booking"
Sure I would like to stay in a Comfort Standard Room,"Great, the Comfort Standard Room is 108rmb Can I have your full name and other necessary particulars for the booking"
"Sure My full name is Name, my email address is Email and my phone number is Phone Number","Thank you for providing that information Name The Comfort Standard room at Lihao Hotel will include air conditioning, television, electric kettle and a hair dryer In addition, youll have free access to WiFi with the password being your room number upon checkin"
That sounds great Could you tell me a bit more about the parking and breakfast,"Absolutely We offer free parking near the hotel There is also a gym available, as well as a supermarket, cinema, and market within walking distance When it comes to breakfast, it is served from 930 am to 1030 am"
That sounds really nice How does the checkin and checkout time work,"Checkin time is 300 pm, and checkout time is 1200 pm Also, feel free to contact us with any further questions at our hotel telephone number of 1234567789"
Thanks for the information I think I have everything I need to book the room,Wonderful It would be our pleasure to accommodate you Is there anything else I can help you with
"No, thats all Thank you for your help",Youre very welcome We look forward to seeing you soon Have a great day
"Hello, Im calling about reservation for Lihao Hotel","Hi, thank you for calling Lihao Hotel How can I help you with your reservation"
I would like to book a room for 2 nights,"Certainly What type of room will you be booking We have Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Leisure Duplex Chess Room, and Diversified Smart Film Rom"
I shall book the Executive Business Standard King Room How much would that be,"The Executive Business Standard King Room is 128rmb per night, so itll be a total of 256rmb"
"Okay, that works What are the checkin and checkout times",The checkin time is 3 pm and the checkout time is 12 pm
What amenities are included in the room,"All our rooms include air conditioning, a washing machine, a hair dryer, a television with cable channels, and an electric kettle"
What about WiFi access,"We do offer WiFi access, with the password being the room number"
Do you have any other amenities that guests can take advantage of,"Yes, we do We have complimentary breakfast from 930 am to 1030 am We also offer a gym, a supermarket, a cinema, and a market nearby"
Do you provide free parking near the hotel,"Yes, we do provide free parking near the hotel"
"All right, Id like to go ahead and book a room What information do you need from me","Ill need your name, address, contact number, and a valid form of payment"
"Okay, thats it","Yes, thats all we need Would you like to book now or later"
"Hi, Im looking for a hotel to stay in Could you tell me about Lihao Hotel","Yes definitely Lihao Hotel is located on 186 Zhuluo East Road, next to the fruit market and across from Futian Garden  We provide Comfort Standard Room, Comfort Single Room, Business Duplex Standard Room, Business Duplex King Room, Executive Business Standard King Room, Fashionable Smart Standard Room, Fashionable Smart King Room, Leisure Duplex Chess Room, Diversified Smart Film Room, with different prices for different rooms Breakfast is available between 930 am to 1030 am   Guests also benefit from a gym, WiFi, nearby amenities such as supermarkets, cinemas, and a market Additionally, the hotel provides air conditioner, washing machine, a hair dryer, a television and an electric kettle Free parking is available near the hotel"
That all sounds great What is the checkin and checkout time,"The checkin time is at 300 pm, while the checkout time is at 1200 pm  Also, the WiFi password is the room number Is there anything else I can help you with"
I think that is all I need to know Could I have the front desk telephone number please,"Sure, the telephone number is 1234567789  Do you have any other questions"
"Hi, I am looking for a hotel in the city and I heard good things about Lihao Hotel","Hi Welcome to Lihao Hotel We are conveniently located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden We have a variety of different room types available with different prices to suit your needs"
What type of rooms do you have available with prices,"We have Comfort Standard Room 108rmb, Comfort Single Room 108rmb, Business Duplex Standard Room 108rmb, Business Duplex King Room 108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room 158rmb, Fashionable Smart King Room 158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room 200rmb, Diversified Smart Film Room400rmb"
What other amenities are offered at the hotel,"We offer a variety of amenities for our guests We have a complimentary breakfast available from 930am to 1030 am We also have a gym available, free WIFI with the password being the room number and various nearby amenities such as supermarket, cinema, and market We also provide airconditioning, washing machine, hair dryer, television, electric kettle and free parking spaces near the hotel"
What is the checkin and checkout time,The checkin time is 300 pm and the checkout time is 1200 pm Our front desk telephone number is 1234567789 if you have any further questions or inquiries
"Ok, that sounds great Ill be sure to book a room Thank you for your help","Youre welcome, we look forward to your arrival Enjoy your stay here at Lihao Hotel"
"Hi, I am looking for accommodation and I came across your hotel Can you tell me more about it","Glad to hear that you are interested in our hotel, Lihao Hotel at 186 Zhuluo East Road Its conveniently located next to the fruit market and across from Futian Garden Some of our features include air conditioning, washing machine, hair dryer, television, electric kettle and free parking near the hotel We also have a gym available for our guests to use WiFi is available and the password for it is the room number Breakfast is provided from 930 am to 1030 am and some of our nearby amenities include a supermarket, cinema and market"
What kind of room do you have available,"We have several options available Our Comfort Standard Room and Comfort Single Room are priced at 108RMB, while the Business Duplex Standard Room and Business Duplex King Room are priced at 108RMB If youre looking for something more luxurious, our Executive Business Standard King Room is priced at 128rmb and the Fashionable Smart Standard Room and Fashionable Smart King Room are priced at 158rmb Furthermore, our Leisure Duplex Chess Room and Diverified Smart Film Room are priced at 200RMB and 400RMB respectively"
Whats the checkin and checkout time,The checkin time is at 300 pm and checkout time is at 1200 pm
How can I book a room,You can book a room through our website or by giving us a call at 1234567789 We look forward to welcoming you to Lihao Hotel
Good morning,"Good morning, how can I help you"
