Question,Answer,Question class
"rested in booking a room at your hotel I want to know more about the hotel and its facilities""","Hi, this is Lihao Hotel Our hotel is located at 186 Zhuluo East Road, next to the fruit market and across from Futian Garden Our checkin and checkout times are 1200 pm and 300 pm respectively We have a variety of room types available ranging from comfort standard room to business duplex king room The room prices range from 108rmb to 400rmb We have breakfasts available from 930 am to 1030 am We also have a Gym available for guests and free parking is available near the hotel",4
What kind of amenities are offered at the hotel,"We offer a range of amenities including air conditioner, washing machine, hair dryer, television, electric kettle and Wifi, for which the password is the room number Additionally, there are nearby amenities such as supermarket, cinema and market",4
What is the best room type that you recommend for me,"For best experience we recommend our Executive Business Standard King Room, which has a price of 128rmb This room is elegantly furnished and offers a luxurious stay It includes amenities such as air conditioning, hair dryer, electric kettle and highspeed WiFi",4
"Good morning,","Good morning, how may I assist you today",1
I was wondering if I could get more info on the hotel rooms at Lihao hotel,"Absolutely, the Lihao Hotel is located on 186 Zhuluo East Road, right next to the fruit market and across from Futian Garden We currently have 8 different types of room styles Comfort Standard Room108rmb, Comfort Single Room108rmb, Business Duplex Standard Room108rmb, Business Duplex King Room108rmb, Executive Business Standard King Room128rmb, Fashionable Smart Standard Room158rmb, Fashionable Smart King Room158rmb, Leisure Duplex Chess Room200rmb, Leisure Duplex Chess Room200rmb, Diversified Smart Film Rom400rmb",1
Great Do these room come with any included amenities,"Yes of course All our rooms are equipped with air conditioner, washing machine, hair dryer, television and electric kettle We also offer free WiFi service with the password being your room number In addition, we have a gym available for guests, and free parking available near the hotel",4
Thats great What the breakfast hours,Breakfast is served from 930 am to 1030 am daily Please let us know in advance if you have any dietary restrictions so that we can accommodate your needs,4
Perfect Can I make a booking,Of course Please let me know what type of room and date you would like to book and I will provide you with the rates and availability,1
"Hi, Id like to make a reservation at Lihao Hotel",Hi Welcome to Lihao Hotel How can I help you,1
"Yes, can I check availability for one night, please",Absolutely We have many different room types available Which one are you interested in,1
I would like a Comfort Standard Room,We have a few rooms available for you The price per night is 108rmb Is that OK,1
Yes thats fine,"Great Can I have your name and a legal ID number, please",3
"Sure My name is John, and my legal ID number is 123456","Perfect Let me confirm your reservation I see that you will be staying for one night, checking in at 3 pm, and checking out at 12 pm Is this correct",4
Thats correct,Got it Can I help you with anything else,3
"Yes Are there any amenities included in the room, such as air conditioner, hair dryer, etc","Yes, absolutely Every room includes air conditioner, hair dryer, television and electric kettle The rooms are also equipped with free WiFi, with the password being the room number You can also enjoy breakfast from 930 am to 1030am and take advantage of our gym There is a supermarket, a cinema, and a market nearby, too",4
Thats great Is there free parking available near the hotel,"Yes, we do provide free parking near the hotel",4
Perfect Thats all I need,"Alright, Im happy to assist Is there anything else I can help you with",3
"Hello, Im interested in staying at Lihao Hotel, and I wanted to ask a few questions","Hi there, this is the Lihao Hotel speaking What can I do for you",1
